,open,close,high,low,total_turnover,volume
2005/1/4,1.552,1.5355,1.552,1.5214,11465602.88,6961738
2005/1/5,1.5355,1.5214,1.5426,1.4955,20718558.56,12739275
2005/1/6,1.5308,1.5355,1.552,1.519,17333840.11,10542101
2005/1/7,1.5497,1.5332,1.5544,1.5214,12302853.16,7457207
2005/1/10,1.5332,1.552,1.552,1.5002,17111498.01,10406261
2005/1/11,1.552,1.552,1.552,1.552,0,0
2005/1/12,1.5544,1.5379,1.5567,1.5238,10672635.24,6478747
2005/1/13,1.5379,1.5473,1.5544,1.5308,10504590.35,6328923
2005/1/14,1.5497,1.5308,1.5544,1.5285,10476658.05,6344721
2005/1/17,1.5238,1.4719,1.5238,1.4625,20039970.64,12538678
2005/1/18,1.4719,1.4649,1.4814,1.4484,16109619.64,10247051
2005/1/19,1.4649,1.4507,1.4719,1.4484,10416562.55,6663482
2005/1/20,1.4507,1.4154,1.4507,1.4084,23815008.52,15612774
2005/1/21,1.4131,1.5096,1.5308,1.3777,62408193.06,39686342
2005/1/24,1.5544,1.5238,1.5661,1.5026,41761044.27,25534225
2005/1/25,1.519,1.4861,1.5214,1.4767,22142393.76,13838548
2005/1/26,1.4837,1.4837,1.5214,1.4696,16124241.73,10032644
2005/1/27,1.4814,1.446,1.4837,1.439,15671761.75,9983061
2005/1/28,1.4437,1.4531,1.4555,1.4248,14212958.96,9217090
2005/1/31,1.4484,1.4272,1.4484,1.4201,11288374.33,7345180
2005/2/1,1.4296,1.4343,1.4578,1.4272,13006363.97,8408593
2005/2/2,1.4366,1.5073,1.5096,1.4343,35957946.9,22522668
2005/2/3,1.5073,1.4861,1.5167,1.4837,26337392.33,16371253
2005/2/4,1.4837,1.5544,1.5873,1.4696,58460210.78,35258665
2005/2/16,1.5544,1.552,1.5732,1.5379,27970435.23,16730716
2005/2/17,1.5544,1.545,1.5638,1.5332,19839009.58,11971659
2005/2/18,1.5497,1.5544,1.5732,1.5426,26213869.32,15674815
2005/2/21,1.5614,1.5803,1.5944,1.5614,43335847.21,25544074
2005/2/22,1.5803,1.5873,1.5921,1.5544,52460968.28,31006895
2005/2/23,1.5873,1.5709,1.5944,1.5567,34215336.9,20242273
2005/2/24,1.5732,1.5614,1.5732,1.5473,32969255.1,19717848
2005/2/25,1.5614,1.5638,1.5921,1.5614,37865715.82,22369428
2005/2/28,1.5638,1.5261,1.5661,1.5167,33546810.32,20396075
2005/3/1,1.5261,1.5073,1.5308,1.5026,21592545.47,13298920
2005/3/2,1.5073,1.5026,1.5238,1.4978,19739123.3,12176684
2005/3/3,1.5026,1.5167,1.519,1.4955,11399016.17,7037427
