,open,close,high,low,total_turnover,volume
2005-01-04,1260.782,1242.774,1260.782,1238.179,4418452047.0,816177000.0
2005-01-05,1241.682,1251.937,1258.58,1235.746,4916589314.0,867865100.0
2005-01-06,1252.493,1239.4301,1252.735,1234.236,4381370333.0,792225400.0
2005-01-07,1239.323,1244.746,1256.313,1235.5081,5040041939.0,894087100.0
2005-01-10,1243.576,1252.401,1252.723,1236.089,4118291757.0,723468300.0
2005-01-11,1252.7111,1257.462,1260.871,1247.835,4368276172.0,772557000.0
2005-01-12,1257.17,1256.923,1257.193,1246.422,3799862955.0,676958500.0
2005-01-13,1255.718,1256.314,1259.499,1251.016,5003680868.0,874670700.0
2005-01-14,1255.871,1245.62,1268.856,1243.873,5272487558.0,989832700.0
2005-01-17,1235.574,1216.652,1236.397,1214.0649,5434886351.0,1002856500.0
2005-01-18,1215.776,1225.454,1226.043,1207.052,5294355367.0,1019028800.0
2005-01-19,1225.075,1218.108,1225.075,1214.635,4677974231.0,937719500.0
2005-01-20,1213.368,1204.394,1213.96,1199.167,5383794395.0,1031028400.0
2005-01-21,1201.933,1234.476,1237.9091,1189.2111,9001891146.0,1697008000.0
2005-01-24,1258.024,1255.777,1265.949,1239.8,9786782740.0,1802020700.0
2005-01-25,1252.354,1254.234,1254.866,1239.1639,6439329703.0,1181392400.0
2005-01-26,1252.3719,1241.958,1254.2321,1240.131,5351521296.0,964069100.0
2005-01-27,1239.579,1225.891,1241.137,1223.877,4955027537.0,941282900.0
2005-01-28,1223.7271,1213.673,1226.304,1208.8571,4199937444.0,817055700.0
2005-01-31,1210.755,1191.823,1210.755,1190.173,4668009630.0,907806200.0
2005-02-01,1189.501,1188.931,1203.066,1187.26,4907930781.0,934022200.0
2005-02-02,1189.502,1252.5,1253.1591,1189.502,10397266956.0,1905406200.0
2005-02-03,1253.813,1242.307,1269.155,1236.179,10897290873.0,2041522500.0
2005-02-04,1238.609,1269.004,1274.115,1235.64,9664344703.0,1702829300.0
2005-02-16,1276.015,1278.88,1291.465,1270.318,7980113925.0,1444545500.0
2005-02-17,1280.028,1276.134,1280.028,1263.7111,6103111134.0,1121861200.0
2005-02-18,1275.6639,1258.969,1278.624,1258.561,5785501661.0,1068805000.0
2005-02-21,1259.528,1284.48,1284.937,1259.509,6930691886.0,1253692200.0
2005-02-22,1285.629,1309.277,1312.533,1282.783,12773513576.0,2260281500.0
2005-02-23,1309.624,1309.475,1316.588,1299.146,13699232367.0,2418912700.0
2005-02-24,1307.036,1309.949,1310.967,1296.979,11356347739.0,2011581500.0
2005-02-25,1311.3669,1312.4449,1328.533,1311.205,13978978564.0,2406961000.0
2005-02-28,1311.439,1306.0031,1315.137,1298.928,10244600541.0,1765143200.0
2005-03-01,1305.249,1303.412,1308.7581,1295.642,7981055197.0,1398095200.0
2005-03-02,1303.3101,1287.45,1316.723,1285.916,10749393259.0,1862863500.0
2005-03-03,1285.197,1294.339,1295.2531,1276.88,6981237940.0,1282360900.0
2005-03-04,1294.156,1287.714,1299.5959,1286.481,6269241707.0,1104995800.0
2005-03-07,1288.408,1293.739,1296.88,1287.74,6283006027.0,1076224600.0
2005-03-08,1298.25,1318.271,1318.895,1296.908,11159503108.0,1798439800.0
2005-03-09,1321.208,1316.791,1326.076,1310.235,12224773496.0,2056718700.0
2005-03-10,1316.9,1286.233,1316.9,1282.528,10537289289.0,1789766900.0
2005-03-11,1284.5129,1289.941,1292.5291,1278.153,9039329495.0,1499671400.0
2005-03-14,1288.985,1293.5,1304.1121,1271.511,11968377523.0,1869250200.0
2005-03-15,1293.132,1269.144,1293.259,1266.637,9678243152.0,1564271900.0
2005-03-16,1267.052,1255.589,1268.187,1247.8929,8330513791.0,1366337300.0
2005-03-17,1255.985,1243.475,1257.7939,1242.5129,7813701046.0,1289554300.0
2005-03-18,1242.453,1227.403,1248.0341,1223.615,7341657941.0,1245243200.0
