,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,1.0885,1.099,1.1073,1.0781,54514225.39,37273720.0,1.2074,0.9863
2005-01-05,1.0948,1.1386,1.1407,1.0927,94781898.68,63323474.0,1.2095,0.9884
2005-01-06,1.1386,1.1323,1.1386,1.1136,99253395.27,66317684.0,1.2533,1.0239
2005-01-07,1.1281,1.1427,1.1678,1.1219,97564035.63,63800129.0,1.2449,1.0197
2005-01-10,1.1427,1.1365,1.1573,1.1323,38839982.34,25524695.0,1.2574,1.0281
2005-01-11,1.1386,1.149,1.1511,1.1344,32581354.98,21383197.0,1.2512,1.0239
2005-01-12,1.1573,1.1532,1.1594,1.1302,41383107.39,27055998.0,1.2637,1.0343
2005-01-13,1.149,1.1615,1.1657,1.1448,50694349.64,32974632.0,1.2679,1.0385
2005-01-14,1.1615,1.1407,1.1678,1.1344,46323160.06,30183322.0,1.2783,1.0447
2005-01-17,1.1323,1.1344,1.1427,1.1219,54082167.17,35812386.0,1.2554,1.026
2005-01-18,1.1281,1.1386,1.1469,1.124,30599266.96,20260278.0,1.247,1.0218
2005-01-19,1.1365,1.1219,1.149,1.1177,24547567.45,16191781.0,1.2533,1.0239
2005-01-20,1.1177,1.1302,1.1427,1.1115,30611377.67,20353122.0,1.2345,1.0093
2005-01-21,1.1302,1.1782,1.1865,1.1302,100951097.97,65096816.0,1.2428,1.0176
2005-01-24,1.1886,1.2011,1.2116,1.1719,109562077.05,68731621.0,1.2971,1.0614
2005-01-25,1.1991,1.2011,1.2095,1.1803,68954496.57,43247801.0,1.3221,1.0802
2005-01-26,1.1991,1.1845,1.2032,1.1678,70488793.03,44506415.0,1.3221,1.0802
2005-01-27,1.1699,1.1782,1.1991,1.1678,45387544.4,28735254.0,1.3033,1.0656
2005-01-28,1.1782,1.1803,1.1907,1.1719,33522798.08,21296628.0,1.2971,1.0614
2005-01-31,1.1782,1.1845,1.1928,1.1657,30211890.36,19167887.0,1.2991,1.0614
2005-02-01,1.1886,1.1907,1.2032,1.174,34966806.63,22012150.0,1.3033,1.0656
2005-02-02,1.197,1.2428,1.247,1.1928,119509469.96,73110402.0,1.3096,1.0718
2005-02-03,1.2428,1.2303,1.2762,1.2262,144726444.07,86534356.0,1.368,1.1177
2005-02-04,1.2262,1.27,1.2762,1.2241,120357279.72,71514781.0,1.3534,1.1073
2005-02-16,1.2825,1.2845,1.3075,1.2762,117548511.34,68330156.0,1.3972,1.1427
2005-02-17,1.2929,1.2616,1.2929,1.2491,81718705.31,48622964.0,1.4138,1.1553
2005-02-18,1.2574,1.2303,1.2741,1.2199,97736581.29,59187978.0,1.3888,1.1365
2005-02-21,1.2345,1.2574,1.2616,1.2303,73597820.82,44213357.0,1.3534,1.1073
2005-02-22,1.2512,1.27,1.2804,1.2512,89484657.54,52971649.0,1.3826,1.1323
2005-02-23,1.272,1.2554,1.2762,1.247,91619824.15,54542884.0,1.3972,1.1427
2005-02-24,1.2533,1.2387,1.2533,1.2074,118716070.93,72643115.0,1.3805,1.1302
2005-02-25,1.2387,1.2324,1.2658,1.2303,111650528.28,67367714.0,1.3617,1.1156
2005-02-28,1.2303,1.1886,1.2428,1.1845,176328688.92,110095268.0,1.3554,1.1094
2005-03-01,1.1886,1.1949,1.2095,1.1845,77794633.68,48810406.0,1.3075,1.0698
2005-03-02,1.197,1.1761,1.2032,1.1573,82459323.21,52502875.0,1.3137,1.076
2005-03-03,1.1761,1.1761,1.1761,1.1761,0.0,0.0,,
2005-03-04,1.1761,1.1761,1.1761,1.1761,0.0,0.0,,
2005-03-07,1.1928,1.2157,1.2241,1.1928,91015049.87,56422357.0,1.2929,1.0593
2005-03-08,1.2303,1.2095,1.2303,1.1865,128387988.36,80028122.0,1.3367,1.0948
2005-03-09,1.2095,1.2178,1.2387,1.2095,149877076.22,91782158.0,1.3304,1.0885
2005-03-10,1.2178,1.2136,1.2408,1.2032,88351852.45,54215352.0,1.3388,1.0969
2005-03-11,1.2136,1.1991,1.2157,1.1907,59913027.51,37461236.0,1.3346,1.0927
2005-03-14,1.2011,1.1845,1.2053,1.1636,98448430.89,62707183.0,1.32,1.0802
2005-03-15,1.1845,1.1699,1.1928,1.1657,63358982.45,40579610.0,1.3033,1.0656
2005-03-16,1.1699,1.1448,1.1782,1.1365,79986071.02,52129098.0,1.2866,1.0531
2005-03-17,1.1052,1.099,1.1261,1.0864,238825815.57,162077929.0,1.2595,1.0301
2005-03-18,1.0844,1.1323,1.1427,1.0844,74290987.45,49877982.0,1.2095,0.9884
2005-03-21,1.1281,1.1407,1.149,1.1156,64941738.62,42969535.0,1.2449,1.0197
2005-03-22,1.1469,1.1532,1.1824,1.1365,118411081.59,76665204.0,1.2554,1.026
2005-03-23,1.1573,1.1824,1.2053,1.1532,118280605.4,75020458.0,1.2679,1.0385
2005-03-24,1.1824,1.174,1.1907,1.1511,46292238.48,29704608.0,1.3012,1.0635
2005-03-25,1.174,1.174,1.1928,1.1657,46244846.7,29429478.0,1.2908,1.0572
2005-03-28,1.174,1.1615,1.1824,1.1553,44058209.44,28392300.0,1.2908,1.0572
2005-03-29,1.1657,1.1511,1.1719,1.1469,38995292.92,25245835.0,1.2783,1.0447
2005-03-30,1.1469,1.1511,1.1699,1.1407,52291408.4,34072571.0,1.2658,1.0364
2005-03-31,1.1469,1.1511,1.1573,1.1302,33346139.71,21864438.0,1.2658,1.0364
2005-04-01,1.1532,1.1865,1.2095,1.149,114243256.56,72914382.0,1.2658,1.0364
2005-04-04,1.1761,1.1719,1.2011,1.1532,65599550.5,41837443.0,1.3054,1.0677
2005-04-05,1.1699,1.1678,1.1782,1.1594,47421631.29,30486650.0,1.2887,1.0552
2005-04-06,1.174,1.2032,1.2053,1.1678,130730393.99,82741921.0,1.2845,1.051
2005-04-07,1.2053,1.2136,1.2408,1.2053,137071777.03,83944429.0,1.3242,1.0823
2005-04-08,1.2136,1.2157,1.2199,1.1886,91216008.54,56885681.0,1.3346,1.0927
2005-04-11,1.2136,1.1886,1.2136,1.1824,70781851.87,44551944.0,1.3367,1.0948
2005-04-12,1.1886,1.1949,1.2074,1.1845,39861366.9,25041395.0,1.3075,1.0698
2005-04-13,1.2095,1.2157,1.2449,1.197,159632866.02,98284781.0,1.3137,1.076
2005-04-14,1.2262,1.2157,1.2345,1.2116,44633906.73,27434167.0,1.3367,1.0948
2005-04-15,1.2157,1.2178,1.2199,1.2011,39867992.29,24671696.0,1.3367,1.0948
2005-04-18,1.2178,1.2178,1.2262,1.2074,42875638.16,26399653.0,1.3388,1.0969
2005-04-19,1.2178,1.2178,1.2324,1.2074,38141799.6,23474200.0,1.3388,1.0969
2005-04-20,1.2178,1.1865,1.222,1.1657,73462732.39,46461838.0,1.3388,1.0969
2005-04-21,1.1782,1.1678,1.2011,1.1553,49663226.59,31797389.0,1.3054,1.0677
2005-04-22,1.1636,1.1469,1.1699,1.1448,78669812.31,51247498.0,1.2845,1.051
2005-04-25,1.1594,1.197,1.2011,1.1573,92118981.44,58243403.0,1.2616,1.0322
2005-04-26,1.1991,1.1991,1.2116,1.174,57474131.64,36102690.0,1.3158,1.0781
2005-04-27,1.1991,1.2199,1.2303,1.1928,77701771.28,48114875.0,1.32,1.0802
2005-04-28,1.2136,1.2303,1.2345,1.2074,114593079.82,70339921.0,1.3429,1.099
2005-04-29,1.2303,1.2303,1.2303,1.2303,0.0,0.0,,
2005-05-09,1.2303,1.1907,1.2324,1.1886,50452610.96,31576921.0,1.3534,1.1073
2005-05-10,1.1886,1.1991,1.2011,1.1678,39119968.26,24778116.0,1.3096,1.0718
2005-05-11,1.1991,1.1386,1.1991,1.1323,56664078.82,36449424.0,1.32,1.0802
2005-05-12,1.1365,1.1094,1.1365,1.0864,80599562.4,54637322.0,1.2533,1.0239
2005-05-13,1.1052,1.0427,1.1052,0.9989,199728645.43,142750786.0,1.2199,0.9989
2005-05-16,1.0218,1.0218,1.026,1.0009,91526113.94,67849175.0,1.1469,0.9384
2005-05-17,1.0218,1.0468,1.0552,1.0135,45745604.17,33089893.0,1.124,0.9196
2005-05-18,1.0468,1.0364,1.0531,1.0218,28887038.16,20860898.0,1.1511,0.9426
2005-05-19,1.0385,1.0447,1.0593,1.0239,43362939.94,31281538.0,1.1407,0.9321
2005-05-20,1.0468,1.051,1.0677,1.0427,41790793.04,29700716.0,1.149,0.9405
2005-05-23,1.0468,1.0218,1.0468,1.0197,39156930.63,28668006.0,1.1553,0.9467
2005-05-24,1.0218,1.0301,1.0427,1.0093,34226924.66,25128569.0,1.124,0.9196
2005-05-25,1.0281,1.0281,1.0406,1.0197,28838539.09,21064284.0,1.1323,0.928
2005-05-26,1.0322,1.0239,1.0343,1.0176,35179415.49,25828740.0,1.1302,0.9259
2005-05-27,1.0239,0.9801,1.0301,0.9655,77955942.46,58861055.0,1.1261,0.9217
2005-05-30,0.9801,0.9738,0.9801,0.9446,42710769.19,33368969.0,1.0781,0.8821
2005-05-31,0.9738,0.9697,0.9843,0.9613,31002118.68,23940353.0,1.0718,0.8758
2005-06-01,0.9697,0.9551,0.9801,0.9509,31684335.89,24705086.0,1.0677,0.8737
2005-06-02,0.9551,0.8967,0.9551,0.8883,60801290.55,49960249.0,1.051,0.8591
2005-06-03,0.8925,0.9259,0.9259,0.88,52482372.99,43409045.0,0.9863,0.807
2005-06-06,0.9259,0.9592,0.9634,0.9154,65226707.58,52169317.0,1.0176,0.8341
2005-06-07,0.9592,0.9592,0.9905,0.9467,70887314.87,55113660.0,1.0552,0.8633
2005-06-08,1.0427,1.0364,1.0427,0.9592,169808344.32,125237444.0,1.0552,0.8633
2005-06-09,1.0364,1.0176,1.0364,1.003,144788345.4,106767526.0,1.1407,0.9321
2005-06-10,1.0155,0.9759,1.0176,0.9592,103799642.03,78650914.0,1.1198,0.9154
2005-06-13,0.9759,0.9863,0.9884,0.9697,52679352.52,40308761.0,1.0739,0.8779
2005-06-14,0.9905,0.9947,1.0114,0.9884,73283120.14,55070543.0,1.0844,0.8883
2005-06-15,0.9905,0.9759,0.9947,0.9738,53093037.1,40699310.0,1.0948,0.8946
2005-06-16,0.978,0.9884,0.9905,0.9738,54064735.79,41410120.0,1.0739,0.8779
2005-06-17,0.9884,0.9843,0.9947,0.9738,58790387.3,45110898.0,1.0864,0.8904
2005-06-20,0.9843,1.0114,1.0135,0.9738,77660852.18,58498772.0,1.0823,0.8863
2005-06-21,1.0135,0.9947,1.0197,0.9884,69815432.15,52382369.0,1.1136,0.9113
2005-06-22,0.9926,1.0051,1.0093,0.9926,57407445.14,42949937.0,1.0948,0.8946
2005-06-23,1.0072,0.9968,1.0093,0.9926,55170209.23,41574931.0,1.1052,0.905
2005-06-24,0.9968,1.0093,1.0135,0.9968,55246932.59,41262714.0,1.0969,0.8967
2005-06-27,1.0322,1.0552,1.0614,1.0176,155371954.96,111644971.0,1.1094,0.9092
2005-06-28,1.0531,1.0572,1.0593,1.0301,106065005.87,76145735.0,1.1615,0.9488
2005-06-29,1.0637,1.0444,1.0669,1.0411,62864232.12,46124628.0,1.1636,0.9509
2005-06-30,1.0379,1.0121,1.0379,1.0089,53258655.61,40383926.0,1.1475,0.9412
2005-07-01,1.0121,1.0218,1.0315,1.0121,45364757.52,34312966.0,1.112,0.9122
2005-07-04,1.0218,1.0444,1.0476,1.0057,64179358.74,48568586.0,1.1249,0.9186
2005-07-05,1.0411,1.054,1.0637,1.0347,64586902.33,47460854.0,1.1475,0.9412
2005-07-06,1.0508,1.0508,1.0701,1.0379,63472238.52,46756066.0,1.1604,0.9477
2005-07-07,1.0508,1.054,1.0572,1.0444,28113792.98,20714086.0,1.1572,0.9444
2005-07-08,1.0411,1.0315,1.0476,1.0282,31528772.63,23542190.0,1.1604,0.9477
2005-07-11,1.0411,1.0315,1.0669,1.0153,35018291.44,26103283.0,1.1346,0.9283
2005-07-12,1.025,1.0637,1.0734,1.0153,96485018.7,70667779.0,1.1346,0.9283
2005-07-13,1.0637,1.0476,1.0637,1.0411,37687674.01,27822881.0,1.1701,0.9573
2005-07-14,1.0476,1.0476,1.0701,1.0411,47840517.41,35060119.0,1.1539,0.9444
2005-07-15,1.0476,1.0508,1.0605,1.0411,22028212.1,16234795.0,1.1539,0.9444
2005-07-18,1.0508,1.0186,1.0508,1.0186,57925795.96,43471140.0,1.1572,0.9444
2005-07-19,1.0186,1.0379,1.0476,1.0153,35102718.61,26299769.0,1.1217,0.9154
2005-07-20,1.0379,1.054,1.0605,1.0347,49908094.61,36748589.0,1.1411,0.9348
2005-07-21,1.054,1.054,1.0572,1.0411,45416776.23,33458695.0,1.1604,0.9477
2005-07-22,1.083,1.1185,1.1572,1.0669,349227002.74,242806471.0,1.1604,0.9477
2005-07-25,1.1185,1.1604,1.183,1.1088,267475038.35,179466840.0,1.2313,1.0057
2005-07-26,1.1604,1.1894,1.2087,1.1443,273502425.39,178800648.0,1.2764,1.0444
2005-07-27,1.1926,1.1959,1.1991,1.1701,175000909.91,114154075.0,1.3087,1.0701
2005-07-28,1.1959,1.2023,1.2249,1.1862,193780659.81,124250748.0,1.3151,1.0766
2005-07-29,1.1991,1.2378,1.241,1.1926,176119923.94,111585437.0,1.3216,1.083
2005-08-01,1.2506,1.1991,1.2539,1.1701,287049567.82,183860791.0,1.3602,1.1153
2005-08-02,1.1926,1.2281,1.2345,1.1765,165469176.95,105879982.0,1.3183,1.0798
2005-08-03,1.2281,1.27,1.3087,1.2216,411886542.81,248606897.0,1.3506,1.1056
2005-08-04,1.27,1.2764,1.2958,1.2506,177354646.83,107383368.0,1.3957,1.1443
2005-08-05,1.2764,1.3054,1.3054,1.27,255776024.08,153621206.0,1.4054,1.1475
2005-08-08,1.3087,1.2958,1.3183,1.2829,252008207.91,150210667.0,1.4376,1.1765
2005-08-09,1.2958,1.2861,1.299,1.2506,223392662.89,136023257.0,1.4247,1.1668
2005-08-10,1.2829,1.2829,1.2958,1.2603,207423209.39,125847562.0,1.415,1.1572
2005-08-11,1.2829,1.2926,1.2958,1.2668,247008276.28,149018323.0,1.4118,1.1539
2005-08-12,1.2893,1.2152,1.2958,1.1959,664265518.99,415744709.0,1.4215,1.1636
2005-08-15,1.2087,1.2345,1.2442,1.1797,272781761.32,174464856.0,1.3377,1.0927
2005-08-16,1.2313,1.2023,1.2313,1.1862,279815448.49,180460884.0,1.357,1.112
2005-08-17,1.1926,1.1991,1.212,1.1701,189035627.1,122877780.0,1.3216,1.083
2005-08-18,1.2023,1.1701,1.2281,1.1604,252623184.65,162651394.0,1.3183,1.0798
2005-08-19,1.1701,1.1733,1.1894,1.1539,122976672.39,81288242.0,1.2861,1.054
2005-08-22,1.1733,1.2055,1.2087,1.1636,128136018.0,83049708.0,1.2893,1.0572
2005-08-23,1.2087,1.1894,1.2087,1.183,65799010.66,42632510.0,1.3248,1.0863
2005-08-24,1.1926,1.1959,1.212,1.1862,86700547.71,55941110.0,1.3087,1.0701
2005-08-25,1.1959,1.1991,1.2087,1.183,70514842.92,45543552.0,1.3151,1.0766
2005-08-26,1.1991,1.183,1.2023,1.1668,98627283.9,64880743.0,1.3183,1.0798
2005-08-29,1.1797,1.1507,1.1797,1.1443,112158786.5,75086285.0,1.3022,1.0637
