,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-04,5.392,5.36,5.424,5.216,1789898.81,346570.0,5.992,4.904
2005-01-05,5.288,5.472,5.6,5.28,3190159.53,605375.0,5.896,4.824
2005-01-06,5.6,5.496,5.72,5.456,3103201.39,582193.0,6.016,4.928
2005-01-07,5.4,5.472,5.664,5.384,2308610.6,437138.0,6.048,4.944
2005-01-10,5.36,5.504,5.552,5.36,2042044.72,387934.0,6.016,4.928
2005-01-11,5.52,5.728,5.792,5.48,6622306.13,1210037.0,6.056,4.952
2005-01-12,5.72,5.648,5.728,5.584,2913098.0,536756.0,6.304,5.152
2005-01-13,5.68,5.792,5.84,5.648,6463603.98,1164393.0,6.216,5.08
2005-01-14,5.84,5.656,5.856,5.64,5573006.14,1004912.0,6.368,5.216
2005-01-17,5.616,5.48,5.616,5.368,4923367.69,936004.0,6.224,5.088
2005-01-18,5.464,5.6,5.632,5.44,2938032.88,552588.0,6.032,4.936
2005-01-19,5.68,5.544,5.68,5.504,2022321.73,378141.0,6.16,5.04
2005-01-20,5.52,5.384,5.52,5.2,3907639.97,755444.0,6.096,4.992
2005-01-21,5.36,5.424,5.48,5.128,4126813.98,804444.0,5.92,4.848
2005-01-24,5.616,5.592,5.68,5.504,4016681.56,748935.0,5.968,4.88
2005-01-25,5.56,5.48,5.56,5.376,1883089.79,358796.0,6.152,5.032
2005-01-26,5.48,5.352,5.56,5.328,2979382.18,575221.0,6.032,4.936
2005-01-27,5.352,5.2,5.36,5.168,2398628.0,477560.0,5.888,4.816
2005-01-28,5.312,5.008,5.312,4.952,3297640.7,676923.0,5.72,4.68
2005-01-31,4.808,4.696,4.904,4.672,3021519.69,665218.0,5.512,4.504
2005-02-01,4.704,4.656,4.792,4.64,2468737.82,545259.0,5.168,4.224
2005-02-02,4.72,5.0,5.024,4.672,2577718.36,551608.0,5.12,4.192
2005-02-03,4.96,4.824,5.056,4.808,2698735.02,571215.0,5.504,4.504
2005-02-04,4.864,5.008,5.024,4.84,3304424.92,692312.0,5.304,4.344
2005-02-16,5.04,5.024,5.184,5.024,2186369.7,446358.0,5.512,4.504
2005-02-17,5.024,5.088,5.136,4.968,1773579.59,364208.0,5.528,4.52
2005-02-18,5.088,5.008,5.112,5.008,1570784.5,323960.0,5.6,4.576
2005-02-21,5.04,5.088,5.104,5.0,1288715.42,265175.0,5.512,4.504
2005-02-22,5.08,5.216,5.264,5.024,3797836.37,763759.0,5.6,4.576
2005-02-23,5.216,5.36,5.552,5.136,5100197.69,985036.0,5.736,4.696
2005-02-24,5.32,5.368,5.44,5.28,3038079.3,590775.0,5.896,4.824
2005-02-25,5.352,5.344,5.464,5.328,2833646.91,547435.0,5.904,4.832
2005-02-28,5.216,5.24,5.336,5.184,2341781.26,464190.0,5.88,4.808
2005-03-01,5.12,5.2,5.264,5.12,2488245.94,498456.0,5.768,4.72
2005-03-02,5.224,5.152,5.328,5.128,1829309.87,366343.0,5.72,4.68
2005-03-03,5.128,5.128,5.184,5.024,1816896.65,370457.0,5.664,4.64
2005-03-04,5.168,5.088,5.168,5.024,1840986.04,377053.0,5.64,4.616
2005-03-07,5.128,5.048,5.128,5.024,2368044.0,485810.0,5.6,4.576
2005-03-08,5.08,5.192,5.208,5.04,2636174.12,533650.0,5.552,4.544
2005-03-09,5.2,5.192,5.248,5.12,2808507.59,564544.0,5.712,4.672
2005-03-10,5.24,5.08,5.24,5.032,2215668.7,451620.0,5.712,4.672
2005-03-11,5.08,5.024,5.08,4.896,2047159.89,426131.0,5.592,4.576
2005-03-14,5.024,4.904,5.024,4.816,3235307.87,689025.0,5.528,4.52
2005-03-15,4.896,4.88,4.912,4.832,1893568.74,404349.0,5.392,4.416
2005-03-16,4.92,4.88,4.952,4.8,1520144.29,323215.0,5.368,4.392
2005-03-17,4.864,4.8,4.872,4.704,1828067.37,397752.0,5.368,4.392
2005-03-18,4.8,4.72,4.824,4.704,2020162.52,443762.0,5.28,4.32
2005-03-21,4.728,4.752,4.784,4.704,1086022.98,237965.0,5.192,4.248
2005-03-22,4.752,4.4,4.752,4.32,2799353.74,654260.0,5.224,4.28
2005-03-23,4.24,4.304,4.48,4.24,1933344.61,461508.0,4.84,3.96
2005-03-24,4.32,4.376,4.432,4.288,822584.85,196109.0,4.736,3.872
2005-03-25,4.384,4.32,4.384,4.28,820310.65,196488.0,4.816,3.936
2005-03-28,4.336,4.208,4.336,4.12,1482350.68,368563.0,4.752,3.888
2005-03-29,4.16,4.32,4.432,4.16,2196606.48,526895.0,4.632,3.784
2005-03-30,4.296,4.4,4.6,4.256,4139036.08,972898.0,4.752,3.888
2005-03-31,4.04,4.432,4.44,4.04,2387919.75,578824.0,4.84,3.96
2005-04-01,4.352,4.512,4.632,4.28,3592397.33,841057.0,4.872,3.992
2005-04-04,4.472,4.312,4.472,4.256,1615959.22,386090.0,4.96,4.064
2005-04-05,4.264,4.288,4.408,4.264,1004013.66,241475.0,4.744,3.88
2005-04-06,4.288,4.32,4.344,4.136,1390504.36,340512.0,4.72,3.856
2005-04-07,4.344,4.464,4.624,4.304,5179586.42,1202499.0,4.752,3.888
2005-04-08,4.56,4.624,4.648,4.44,5494050.75,1246337.0,4.912,4.016
2005-04-11,4.768,4.616,4.768,4.6,4356683.0,966393.0,5.088,4.16
2005-04-12,4.6,4.4,4.624,4.4,2119085.71,489412.0,5.08,4.152
2005-04-13,4.448,4.544,4.584,4.44,2474144.2,568165.0,4.84,3.96
2005-04-14,4.56,4.344,4.688,4.32,2252178.42,527376.0,5.0,4.088
2005-04-15,4.488,4.384,4.624,4.24,2592588.04,602625.0,4.776,3.912
2005-04-18,4.384,4.256,4.48,4.16,1951480.53,474904.0,4.824,3.944
2005-04-19,4.24,4.208,4.36,4.16,1956694.34,482227.0,4.68,3.832
2005-04-20,4.28,4.4,4.584,4.28,6520727.31,1527369.0,4.632,3.784
2005-04-21,4.2,4.104,4.352,4.04,3963899.37,986324.0,4.84,3.96
2005-04-22,4.136,4.136,4.16,4.08,1078050.94,272132.0,4.512,3.696
2005-04-25,4.0,3.904,4.08,3.824,1825556.19,482044.0,4.552,3.72
2005-04-26,3.84,3.976,4.008,3.84,1544708.85,407211.0,4.296,3.512
2005-04-27,3.904,3.576,4.024,3.576,2999208.41,846114.0,4.376,3.576
2005-04-28,3.56,3.656,3.68,3.32,3379366.57,995466.0,3.936,3.216
2005-04-29,3.6,3.536,3.656,3.504,2017119.5,586950.0,4.024,3.288
