,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,0.18,3386.464,3385.7102,3391.7501,3402.0694,3380.245,213060681,2481.8784
1,000002,Ａ股指数,0.18,3546.6018,3545.7988,3552.174,3563.0127,3540.0935,212804122,2480.0296
2,000003,Ｂ股指数,-0.29,347.2614,347.6334,346.6103,347.5555,346.3506,256559,1.8488
3,000008,综合指数,0.06,3101.3037,3096.0948,3097.954,3107.2177,3090.2032,43745402,490.7663
4,000009,上证380,0.07,5736.5843,5740.3933,5744.659,5758.888,5725.7302,50702075,618.8764
5,000010,上证180,0.28,8862.5792,8847.0569,8872.131,8897.8273,8841.4522,100070744,1183.6843
6,000011,基金指数,0.17,6296.1964,6293.5805,6304.4528,6309.4444,6289.8759,30403236,272.3033
7,000012,国债指数,0.05,160.9241,160.9138,160.9877,160.9941,160.9241,113878,1.0399
8,000016,上证50,0.44,2926.7782,2919.4787,2932.3558,2940.1799,2920.0843,49943348,624.9227
9,000017,新综指,0.18,2859.6973,2859.0481,2864.1947,2872.9394,2854.4467,212789506,2479.6886
10,000300,沪深300,0.24,4133.3439,4128.8119,4138.7505,4151.2818,4123.2817,149009872,1852.0629
11,000905,中证500,-0.0,6414.7658,6417.535,6417.2537,6435.854,6397.2929,81581018,976.423
12,399001,深证成指,0.01,11339.569,11341.346000000001,11342.848,11372.286,11310.288,18795013314,2508.4875
13,399002,深成指R,0.01,13546.47,13548.591999999999,13550.386999999999,13585.555,13511.49,10770028720,1461.8953
14,399003,成份Ｂ指,0.09,6651.486,6651.238,6657.146,6679.1359999999995,6645.069,17053739,1.1884
15,399004,深证100R,0.08,5887.361,5888.775,5893.401,5913.929,5862.766,4867139921,702.4241
16,399005,中小板指,-0.66,7765.1759999999995,7766.773,7715.803000000001,7765.1759999999995,7711.380999999999,2248784284,397.7789
17,399006,创业板指,0.38,1797.2579999999998,1794.609,1801.418,1804.878,1795.255,1232893117,226.7074
18,399008,中小300,-0.47,1525.251,1525.8829999999998,1518.7620000000002,1525.6570000000002,1518.047,4524355331,659.2973
19,399100,新 指 数,0.1,8775.98,8778.761,8787.239,8807.096,8759.021,18466972263,2473.8793
20,399101,中小板综,-0.31,11587.518,11594.968,11559.214,11592.268999999998,11548.98,7308057871,1052.5613
21,399106,深证综指,0.04,1939.8029999999999,1940.9560000000001,1941.795,1946.029,1936.6770000000001,18795013314,2508.4875
22,399107,深证Ａ指,0.04,2028.733,2029.943,2030.8029999999999,2035.2420000000002,2025.451,18765997821,2506.5641
23,399108,深证Ｂ指,0.31,1188.295,1188.161,1191.897,1193.885,1187.306,29015493,1.9233
24,399333,中小板R,-0.66,8553.238000000001,8554.998,8498.854,8553.238000000001,8493.984,2248784284,397.7789
25,399606,创业板R,0.38,1872.0439999999999,1869.285,1876.378,1879.9820000000002,1869.9579999999999,1232893117,226.7074
